Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;SubCategory;Product Name;Sales;Quantity;Discount;Profit
16;US2019118983;22/11/2019;26/11/2019;Standard Class;HP14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFFBI10000756;Mobile Phones;iPhone;Storex DuraTech Recycled Plastic Frosted iPhone;2.544;3;0.8;3.816
17;CA2018105893;11/11/2018;18/11/2018;Standard Class;PK19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;53711;Central;OFFST10004186;Mobile Phones;OnePlus;SturDStor Shelving, Vertical 5Shelf 72H x 36W x 18 1/2D;665.88;6;0;13.3176
18;CA2018167164;13/5/2018;15/5/2018;Second Class;AG10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;84084;West;OFFST10000107;Mobile Phones;OnePlus;Fellowes Super Stor/Drawer;55.5;2;0;9.99
19;CA2018143336;27/8/2018;1/9/2018;Second Class;ZD21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFFAR10003056;Mobile Phones;LG;Newell 341;8.56;2;0;2.4824
20;CA2018143336;27/8/2018;1/9/2018;Second Class;ZD21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;TECPH10001949;Cameras ;Sony;Cisco SPA 501G IP Phone;213.48;3;0.2;16.011
21;CA2018143336;27/8/2018;1/9/2018;Second Class;ZD21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;94109;West;OFFBI10002215;Mobile Phones;iPhone;Wilson Jones Hanging View Binder, White, 1;22.72;4;0.2;7.384
22;CA2016137330;9/12/2016;13/12/2016;Standard Class;KB16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFFAR10000246;Mobile Phones;LG;Newell 318;19.46;7;0;5.0596
23;CA2016137330;9/12/2016;13/12/2016;Standard Class;KB16585;Ken Black;Corporate;United States;Fremont;Nebraska;68025;Central;OFFAP10001492;Mobile Phones;Samsung;Acco SixOutlet Power Strip, 4 Cord Length;60.34;7;0;15.6884
24;US2017156909;16/7/2017;18/7/2017;Second Class;SF20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FURCH10002774;Laptops;HP;Global Deluxe Stacking Chair, Gray;71.372;2;0.3;1.0196
25;CA2019106320;25/9/2019;30/9/2019;Standard Class;EB13870;Emily Burns;Consumer;United States;Orem;Utah;84057;West;FURTA10000577;Laptops;Lenovo;Bretford CR4500 Series Slim Rectangular Table;1044.63;3;0;240.2649
26;CA2016121755;16/1/2016;20/1/2016;Second Class;EH13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;OFFBI10001634;Mobile Phones;iPhone;Wilson Jones Active Use iPhone;11.648;2;0.2;4.2224
27;CA2016121755;16/1/2016;20/1/2016;Second Class;EH13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;90049;West;TECAC10003027;Cameras ;Nikon;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57;3;0;11.7741
28;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FURBO10004834;Laptops;Dell;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;7;0.5;1665.0522
29;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFFBI10000474;Mobile Phones;iPhone;Avery Recycled FlexiView Covers for Binding Systems;9.618;2;0.7;7.0532
30;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;FURFU10004848;Laptops;Asus;Howard Miller 133/4 Diameter Brushed Chrome Round Wall Clock;124.2;3;0.2;15.525
31;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFFEN10001509;Mobile Phones;Motorola ;Poly String Tie Motorola ;3.264;2;0.2;1.1016
32;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFFAR10004042;Mobile Phones;LG;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;6;0.2;9.7092
33;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFFBI10001525;Mobile Phones;iPhone;Acco Pressboard Covers with OnePlus Hooks, 14 7/8 x 11, Executive Red;6.858;6;0.7;5.715
34;US2019150630;17/9/2019;21/9/2019;Standard Class;TB21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;19140;East;OFFAR10001683;Mobile Phones;LG;Lumber Crayons;15.76;2;0.2;3.546
35;CA2017107727;19/10/2017;23/10/2017;Second Class;MA17560;Matt Abelman;Home Office;United States;Houston;Texas;77095;Central;OFFPA10000249;Mobile Phones;Pixel;Easystaple Pixel;29.472;3;0.2;9.9468
36;CA2016117590;8/12/2016;10/12/2016;First Class;GH14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;TECPH10004977;Cameras ;Sony;GE 30524EE4;1097.544;7;0.2;123.4737
37;CA2016117590;8/12/2016;10/12/2016;First Class;GH14485;Gene Hale;Corporate;United States;Richardson;Texas;75080;Central;FURFU10003664;Laptops;Asus;Electrix Architects ClampOn Swing Arm Lamp, Black;190.92;5;0.6;147.963
38;CA2019117415;27/12/2019;31/12/2019;Standard Class;SN20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;OFFEN10002986;Mobile Phones;Motorola ;#104 1/8 x 9 1/2 Premium Diagonal Seam Motorola ;113.328;9;0.2;35.415
39;CA2019117415;27/12/2019;31/12/2019;Standard Class;SN20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FURBO10002545;Laptops;Dell;Atlantic Metals Mobile 3Shelf Dell, Custom Colors;532.3992;3;0.32;46.9764
40;CA2019117415;27/12/2019;31/12/2019;Standard Class;SN20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;FURCH10004218;Laptops;HP;Global Fabric Managers Chair, Dark Gray;212.058;3;0.3;15.147
41;CA2019117415;27/12/2019;31/12/2019;Standard Class;SN20710;Steve Nguyen;Home Office;United States;Houston;Texas;77041;Central;TECPH10000486;Cameras ;Sony;Plantronics HL10 Handset Lifter;371.168;4;0.2;41.7564
42;CA2017120999;10/9/2017;15/9/2017;Standard Class;LC16930;Linda Cazamias;Corporate;United States;Naperville;Illinois;60540;Central;TECPH10004093;Cameras ;Sony;Panasonic KxTS550;147.168;4;0.2;16.5564
43;CA2016101343;17/7/2016;22/7/2016;Standard Class;RA19885;Ruben Ausman;Corporate;United States;Los Angeles;California;90049;West;OFFST10003479;Mobile Phones;OnePlus;Eldon Base for stackable OnePlus shelf, platinum;77.88;2;0;3.894
44;CA2017139619;19/9/2017;23/9/2017;Standard Class;ES14080;Erin Smith;Corporate;United States;Melbourne;Florida;32935;South;OFFST10003282;Mobile Phones;OnePlus;Advantus 10Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers;95.616;2;0.2;9.5616
45;CA2016118255;11/3/2016;13/3/2016;First Class;ON18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;TECAC10000171;Cameras ;Nikon;Verbatim 25 GB 6x Bluray Single Layer Recordable Disc, 25/Pack;45.98;2;0;19.7714
46;CA2016118255;11/3/2016;13/3/2016;First Class;ON18715;Odella Nelson;Corporate;United States;Eagan;Minnesota;55122;Central;OFFBI10003291;Mobile Phones;iPhone;Wilson Jones LeatherLike iPhone with DublLock Round Rings;17.46;2;0;8.2062
47;CA2018146703;20/10/2018;25/10/2018;Second Class;PO18865;Patrick ODonnell;Consumer;United States;Westland;Michigan;48185;Central;OFFST10001713;Mobile Phones;OnePlus;Gould Plastics 9Pocket Panel Bin, 183/8w x 51/4d x 201/2h, Black;211.96;4;0;8.4784
48;CA2016169194;20/6/2016;25/6/2016;Standard Class;LH16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TECAC10002167;Cameras ;Nikon;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;45;3;0;4.95
49;CA2016169194;20/6/2016;25/6/2016;Standard Class;LH16900;Lena Hernandez;Consumer;United States;Dover;Delaware;19901;East;TECPH10003988;Cameras ;Sony;LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite;21.8;2;0;6.104
50;CA2019115742;18/4/2019;22/4/2019;Standard Class;DP13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFFBI10004410;Mobile Phones;iPhone;CLine Peel & Stick AddOn Filing Pockets, 83/4 x 51/8, 10/Pack;38.22;6;0;17.9634
51;CA2019115742;18/4/2019;22/4/2019;Standard Class;DP13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;OFFLA10002762;Mobile Phones;HTC;Avery 485;75.18;6;0;35.3346
52;CA2019115742;18/4/2019;22/4/2019;Standard Class;DP13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FURFU10001706;Laptops;Asus;LongerLife Soft White Bulbs;6.16;2;0;2.9568
53;CA2019115742;18/4/2019;22/4/2019;Standard Class;DP13000;Darren Powers;Consumer;United States;New Albany;Indiana;47150;Central;FURCH10003061;Laptops;HP;Global Leather Task Chair, Black;89.99;1;0;17.0981
54;CA2016105816;11/12/2016;17/12/2016;Standard Class;JM15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;OFFFA10000304;Mobile Phones;Nokia;Advantus Push Pins;15.26;7;0;6.2566
55;CA2016105816;11/12/2016;17/12/2016;Standard Class;JM15265;Janet Molinari;Corporate;United States;New York City;New York;10024;East;TECPH10002447;Cameras ;Sony;AT&T CL83451 4Handset Telephone;1029.95;5;0;298.6855
56;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFFST10000604;Mobile Phones;OnePlus;Home/Office Personal File CLGs;208.56;6;0;52.14
57;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFFPA10001569;Mobile Phones;Pixel;Xerox 232;32.4;5;0;15.552
58;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;FURCH10003968;Laptops;HP;Novimex Turbo Task Chair;319.41;5;0.1;7.098
59;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFFPA10000587;Mobile Phones;Pixel;Array Parchment Pixel, Assorted Colors;14.56;2;0;6.9888
60;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;TECAC10002167;Cameras ;Nikon;Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive;30;2;0;3.3
61;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFFBI10001460;Mobile Phones;iPhone;Plastic Binding Combs;48.48;4;0.2;16.362
62;CA2016111682;17/6/2016;18/6/2016;First Class;TB21055;Ted Butterfield;Consumer;United States;Troy;New York;12180;East;OFFAR10001868;Mobile Phones;LG;Prang Dustless Chalk Sticks;1.68;1;0;0.84
63;CA2019135545;24/11/2019;30/11/2019;Standard Class;KM16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;TECAC10004633;Cameras ;Nikon;Verbatim 25 GB 6x Bluray Single Layer Recordable Disc, 3/Pack;13.98;2;0;6.1512
64;CA2019135545;24/11/2019;30/11/2019;Standard Class;KM16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFFBI10001078;Mobile Phones;iPhone;Acco PRESSTEX Data Binder with OnePlus Hooks, Dark Blue, 14 7/8 X 11;25.824;6;0.2;9.3612
65;CA2019135545;24/11/2019;30/11/2019;Standard Class;KM16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;OFFPA10003892;Mobile Phones;Pixel;Xerox 1943;146.73;3;0;68.9631
66;CA2019135545;24/11/2019;30/11/2019;Standard Class;KM16720;Kunst Miller;Consumer;United States;Los Angeles;California;90004;West;FURFU10000397;Laptops;Asus;Luxo Economy Swing Arm Lamp;79.76;4;0;22.3328
67;US2019164175;30/4/2019;5/5/2019;Standard Class;PS18970;Paul Stevenson;Home Office;United States;Chicago;Illinois;60610;Central;FURCH10001146;Laptops;HP;Global Value MidBack Managers Chair, Gray;213.115;5;0.3;15.2225
68;CA2018106376;5/12/2018;10/12/2018;Standard Class;BS11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;OFFAR10002671;Mobile Phones;LG;Hunt BOSTON Model 1606 HighVolume Electric Pencil Sharpener, Beige;1113.024;8;0.2;111.3024
69;CA2018106376;5/12/2018;10/12/2018;Standard Class;BS11590;Brendan Sweed;Corporate;United States;Gilbert;Arizona;85234;West;TECPH10002726;Cameras ;Sony;netTALK DUO VoIP Telephone Service;167.968;4;0.2;62.988
70;CA2016119823;4/6/2016;6/6/2016;First Class;KD16270;Karen Daniels;Consumer;United States;Springfield;Virginia;22153;South;OFFPA10000482;Mobile Phones;Pixel;SnapAWay Black Print Carbonless Ruled Speed Letter, Triplicate;75.88;2;0;35.6636
71;CA2016106075;18/9/2016;23/9/2016;Standard Class;HM14980;Henry MacAllister;Consumer;United States;New York City;New York;10009;East;OFFBI10004654;Mobile Phones;iPhone;Avery Binding System Hidden Tab Executive Style Index Sets;4.616;1;0.2;1.731
72;CA2017114440;14/9/2017;17/9/2017;Second Class;TB21520;Tracy Blumstein;Consumer;United States;Jackson;Michigan;49201;Central;OFFPA10004675;Mobile Phones;Pixel;Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16;19.05;3;0;8.763
73;US2019134026;26/4/2019;2/5/2019;Standard Class;JE15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FURCH10000513;Laptops;HP;HighBack Leather Managers Chair;831.936;8;0.2;114.3912
74;US2019134026;26/4/2019;2/5/2019;Standard Class;JE15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;FURFU10003708;Laptops;Asus;Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48;97.04;2;0.2;1.213
75;US2019134026;26/4/2019;2/5/2019;Standard Class;JE15745;Joel Eaton;Consumer;United States;Memphis;Tennessee;38109;South;OFFST10004123;Mobile Phones;OnePlus;Safco Industrial Wire Shelving System;72.784;1;0.2;18.196
76;US2017118038;9/12/2017;11/12/2017;First Class;KB16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFFBI10004182;Mobile Phones;iPhone;Economy iPhone;1.248;3;0.8;1.9344
77;US2017118038;9/12/2017;11/12/2017;First Class;KB16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;FURFU10000260;Laptops;Asus;6 Cubicle Wall Clock, Black;9.708;3;0.6;5.8248
78;US2017118038;9/12/2017;11/12/2017;First Class;KB16600;Ken Brennan;Corporate;United States;Houston;Texas;77041;Central;OFFST10000615;Mobile Phones;OnePlus;SimpliFile Personal File, Black Granite, 15w x 615/16d x 111/4h;27.24;3;0.2;2.724
79;US2018147606;26/11/2018;1/12/2018;Second Class;JE15745;Joel Eaton;Consumer;United States;Houston;Texas;77070;Central;FURFU10003194;Laptops;Asus;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19.3;5;0.6;14.475
80;CA2016127208;12/6/2016;15/6/2016;First Class;SC20770;StewLG Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFFAP10002118;Mobile Phones;Samsung;1.7 Cubic Foot Compact Cube Office Refrigerators;208.16;1;0;56.2032
81;CA2016127208;12/6/2016;15/6/2016;First Class;SC20770;StewLG Carmichael;Corporate;United States;Decatur;Alabama;35601;South;OFFBI10002309;Mobile Phones;iPhone;Avery HeavyDuty EZD  Binder With Locking Rings;16.74;3;0;8.0352
82;CA2018139451;12/10/2018;16/10/2018;Standard Class;DN13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFFAR10002053;Mobile Phones;LG;Premium Writing Pencils, Soft, #2 by Central Association for the Blind;14.9;5;0;4.172
83;CA2018139451;12/10/2018;16/10/2018;Standard Class;DN13690;Duane Noonan;Consumer;United States;San Francisco;California;94122;West;OFFST10002370;Mobile Phones;OnePlus;Sortfiler Multipurpose Personal File Organizer, Black;21.39;1;0;6.2031
84;CA2019149734;3/9/2019;8/9/2019;Standard Class;JC16105;Julie Creighton;Corporate;United States;Durham;North Carolina;27707;South;OFFEN10000927;Mobile Phones;Motorola ;JetPak Recycled Peel N Seal Padded Mailers;200.984;7;0.2;62.8075
85;US2017119662;13/11/2017;16/11/2017;First Class;CS12400;Christopher Schild;Home Office;United States;Chicago;Illinois;60623;Central;OFFST10003656;Mobile Phones;OnePlus;Safco Industrial Wire Shelving;230.376;3;0.2;48.9549
86;CA2017140088;28/5/2017;30/5/2017;Second Class;PO18865;Patrick ODonnell;Consumer;United States;Columbia;South Carolina;29203;South;FURCH10000863;Laptops;HP;Novimex Swivel Fabric Task Chair;301.96;2;0;33.2156
87;CA2017155558;26/10/2017;2/11/2017;Standard Class;PG18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;TECAC10001998;Cameras ;Nikon;Logitech LS21 Speaker System  PC Multimedia  2.1CH  Wired;19.99;1;0;6.7966
88;CA2017155558;26/10/2017;2/11/2017;Standard Class;PG18895;Paul Gonzalez;Consumer;United States;Rochester;Minnesota;55901;Central;OFFLA10000134;Mobile Phones;HTC;Avery 511;6.16;2;0;2.9568
89;CA2016159695;5/4/2016;10/4/2016;Second Class;GM14455;Gary Mitchum;Home Office;United States;Houston;Texas;77095;Central;OFFST10003442;Mobile Phones;OnePlus;Eldon Portable Mobile Manager;158.368;7;0.2;13.8572
90;CA2016109806;17/9/2016;22/9/2016;Standard Class;JS15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFFAR10004930;Mobile Phones;LG;Turquoise Lead Holder with Pocket Clip;20.1;3;0;6.633
91;CA2016109806;17/9/2016;22/9/2016;Standard Class;JS15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;TECPH10004093;Cameras ;Sony;Panasonic KxTS550;73.584;2;0.2;8.2782
92;CA2016109806;17/9/2016;22/9/2016;Standard Class;JS15685;Jim Sink;Corporate;United States;Los Angeles;California;90036;West;OFFPA10000304;Mobile Phones;Pixel;Xerox 1995;6.48;1;0;3.1104
93;CA2019149587;31/1/2019;5/2/2019;Second Class;KB16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFFPA10003177;Mobile Phones;Pixel;Xerox 1999;12.96;2;0;6.2208
94;CA2019149587;31/1/2019;5/2/2019;Second Class;KB16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;FURFU10003799;Laptops;Asus;Seth Thomas 13 1/2 Wall Clock;53.34;3;0;16.5354
95;CA2019149587;31/1/2019;5/2/2019;Second Class;KB16315;Karl Braun;Consumer;United States;Minneapolis;Minnesota;55407;Central;OFFBI10002852;Mobile Phones;iPhone;Ibico Standard Transparent Covers;32.96;2;0;16.1504
96;US2017109484;6/11/2017;12/11/2017;Standard Class;RB19705;Roger Barcio;Home Office;United States;Portland;Oregon;97206;West;OFFBI10004738;Mobile Phones;iPhone;Flexible Leather Look Classic Collection Ring Binder;5.682;1;0.7;3.788
97;CA2017161018;9/11/2017;11/11/2017;Second Class;PN18775;Parhena Norris;Home Office;United States;New York City;New York;10009;East;FURFU10000629;Laptops;Asus;93/4 Diameter Round Wall Clock;96.53;7;0;40.5426
98;CA2017157833;17/6/2017;20/6/2017;First Class;KD16345;Katherine Ducich;Consumer;United States;San Francisco;California;94122;West;OFFBI10001721;Mobile Phones;iPhone;Trimflex Flexible Post iPhone;51.312;3;0.2;17.9592
99;CA2016149223;6/9/2016;11/9/2016;Standard Class;ER13855;Elpida Rittenbach;Corporate;United States;Saint Paul;Minnesota;55106;Central;OFFAP10000358;Mobile Phones;Samsung;Fellowes Basic Home/Office Series Surge Protectors;77.88;6;0;22.5852
100;CA2016158568;29/8/2016;2/9/2016;Standard Class;RB19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFFPA10003256;Mobile Phones;Pixel;Avery Personal Creations Heavyweight Cards;64.624;7;0.2;22.6184
101;CA2016158568;29/8/2016;2/9/2016;Standard Class;RB19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;TECAC10001767;Cameras ;Nikon;SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card;95.976;3;0.2;10.7973
102;CA2016158568;29/8/2016;2/9/2016;Standard Class;RB19465;Rick Bensley;Home Office;United States;Chicago;Illinois;60610;Central;OFFBI10002609;Mobile Phones;iPhone;Avery Hidden Tab Dividers for Binding Systems;1.788;3;0.8;3.0396
103;CA2016129903;1/12/2016;4/12/2016;Second Class;GZ14470;Gary Zandusky;Consumer;United States;Rochester;Minnesota;55901;Central;OFFPA10004040;Mobile Phones;Pixel;Universal Premium White Copier/Laser Pixel(20Lb. and 87 Bright);23.92;4;0;11.7208
104;US2019156867;13/11/2019;17/11/2019;Standard Class;LC16870;Lena CaciLG;Consumer;United States;Aurora;Colorado;80013;West;TECAC10001552;Cameras ;Nikon;Logitech K350 2.4Ghz Wireless Keyboard;238.896;6;0.2;26.8758
105;US2019156867;13/11/2019;17/11/2019;Standard Class;LC16870;Lena CaciLG;Consumer;United States;Aurora;Colorado;80013;West;FURFU10004006;Laptops;Asus;Deflecto DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting;102.36;3;0.2;3.8385
106;US2019156867;13/11/2019;17/11/2019;Standard Class;LC16870;Lena CaciLG;Consumer;United States;Aurora;Colorado;80013;West;OFFBI10002794;Mobile Phones;iPhone;Avery Trapezoid Ring Binder, 3 Capacity, Black, 1040 sheets;36.882;3;0.7;25.8174
107;CA2017119004;23/11/2017;28/11/2017;Standard Class;JM15250;Janet MLGin;Consumer;United States;Charlotte;North Carolina;28205;South;TECAC10003499;Cameras ;Nikon;Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive;74.112;8;0.2;17.6016
108;CA2017119004;23/11/2017;28/11/2017;Standard Class;JM15250;Janet MLGin;Consumer;United States;Charlotte;North Carolina;28205;South;TECPH10002844;Cameras ;Sony;Speck Products Candyshell Flip Case;27.992;1;0.2;2.0994
109;CA2017119004;23/11/2017;28/11/2017;Standard Class;JM15250;Janet MLGin;Consumer;United States;Charlotte;North Carolina;28205;South;OFFAR10000390;Mobile Phones;LG;Newell Chalk Holder;3.304;1;0.2;1.0738
110;CA2019129476;15/10/2019;20/10/2019;Standard Class;PA19060;Pete Armstrong;Home Office;United States;Orland Park;Illinois;60462;Central;TECAC10000844;Cameras ;Nikon;Logitech Gaming G510s  Keyboard;339.96;5;0.2;67.992
111;CA2017146780;25/12/2017;30/12/2017;Standard Class;CV12805;Cynthia Voltz;Corporate;United States;New York City;New York;10035;East;FURFU10001934;Laptops;Asus;Magnifier Swing Arm Lamp;41.96;2;0;10.9096
112;CA2016128867;3/11/2016;10/11/2016;Standard Class;CL12565;Clay Ludtke;Consumer;United States;Urbandale;Iowa;50322;Central;OFFAR10000380;Mobile Phones;LG;Hunt PowerHouse Electric Pencil Sharpener, Blue;75.96;2;0;22.788
113;CA2016128867;3/11/2016;10/11/2016;Standard Class;CL12565;Clay Ludtke;Consumer;United States;Urbandale;Iowa;50322;Central;OFFBI10003981;Mobile Phones;iPhone;Avery Durable Plastic 1 iPhone;27.24;6;0;13.3476
114;CA2018115259;25/8/2018;27/8/2018;Second Class;RC19960;Ryan Crowe;Consumer;United States;Columbus;Ohio;43229;East;OFFFA10000621;Mobile Phones;Nokia;OIC Colored Binder Clips, Assorted Sizes;40.096;14;0.2;14.5348
